0.0     0.000   0.000   0.000   0.000   0.000
25      7e-2    7e-2    7e-2    7e-2    7e-2
50      1.810   1.910   1.780   1.810   1.820
75      11.96   11.97   11.10   11.80   11.85
100     46.29   46.23   43.64   47.18   47.16
